/home/debian/anaconda3/envs/jaxenv/bin/python /home/debian/PycharmProjects/PythonProject/WKLC-KWC_3D_Extension_ZigZag.py 
Placed 180/180 seeds.
Saved VTK at t = 0.705000, laser=(1.6625, 1.5725) to VTK/fields_001410.vtk
Saved VTK at t = 0.710000, laser=(1.6625, 1.5975) to VTK/fields_001420.vtk
Saved VTK at t = 0.715000, laser=(1.6625, 1.6225) to VTK/fields_001430.vtk
Saved VTK at t = 0.720000, laser=(1.6625, 1.6475) to VTK/fields_001440.vtk
Saved VTK at t = 0.725000, laser=(1.6625, 1.6725) to VTK/fields_001450.vtk
Saved VTK at t = 0.730000, laser=(1.6625, 1.6975) to VTK/fields_001460.vtk
Saved VTK at t = 0.735000, laser=(1.6625, 1.7225) to VTK/fields_001470.vtk
Saved VTK at t = 0.740000, laser=(1.6625, 1.7475) to VTK/fields_001480.vtk
Saved VTK at t = 0.745000, laser=(1.6625, 1.7725) to VTK/fields_001490.vtk
Saved VTK at t = 0.750000, laser=(1.6625, 1.7975) to VTK/fields_001500.vtk
Saved VTK at t = 0.755000, laser=(1.6625, 1.8225) to VTK/fields_001510.vtk
Saved VTK at t = 0.760000, laser=(1.6625, 1.8475) to VTK/fields_001520.vtk
Saved VTK at t = 0.765000, laser=(1.6625, 1.8725) to VTK/fields_001530.vtk
Saved VTK at t = 0.770000, laser=(1.7025, 1.8750) to VTK/fields_001540.vtk
Saved VTK at t = 0.775000, laser=(1.7525, 1.8750) to VTK/fields_001550.vtk
Saved VTK at t = 0.780000, laser=(1.7625, 1.8550) to VTK/fields_001560.vtk
Saved VTK at t = 0.785000, laser=(1.7625, 1.8300) to VTK/fields_001570.vtk
Saved VTK at t = 0.790000, laser=(1.7625, 1.8050) to VTK/fields_001580.vtk
Saved VTK at t = 0.795000, laser=(1.7625, 1.7800) to VTK/fields_001590.vtk
Saved VTK at t = 0.800000, laser=(1.7625, 1.7550) to VTK/fields_001600.vtk
Saved VTK at t = 0.805000, laser=(1.7625, 1.7300) to VTK/fields_001610.vtk
Saved VTK at t = 0.810000, laser=(1.7625, 1.7050) to VTK/fields_001620.vtk
Saved VTK at t = 0.815000, laser=(1.7625, 1.6800) to VTK/fields_001630.vtk
